page,source_image,profile,psm,processed_image,raw_text,mean_confidence,median_confidence,low_confidence_token_ratio,non_empty_token_count,ground_truth_available,cer,wer,sentence_f1,composite_score,sfs,page_rank,overall_rank
page-1,samples/testing_pages/page-1.png,grayscale,4,artifacts/ocr_profiles/page-1/grayscale.png,"D.G4 i= la Po
(Ps ceases: De ETE:
+) 4 ea a ,
ft
J are Fae se mei ta
a ball Cu,
¥.
ora ral
rs Nea
0; Mong 4 phen...
fh ye r= -,
r =,
ae © fra rt: ae
ira",31.068181818181817,33.5,0.9318181818181818,44,True,3.6923076923076925,8.8,0.0,0.0,0.0,4,3
page-1,samples/testing_pages/page-1.png,grayscale,6,artifacts/ocr_profiles/page-1/grayscale.png,"SSS eee ,
——E ——_ SS ey, —— ee
=i ryt | A} ‘ = ;
_.| do wad, a 2 C }
tips 4.00 the hic lomily qieaks
a
SS Sa OS
Weptube the out of Lhe wack",34.84615384615385,30.0,0.8205128205128205,39,True,3.358974358974359,7.8,0.0,0.0,0.0,2,4
page-1,samples/testing_pages/page-1.png,grayscale,11,artifacts/ocr_profiles/page-1/grayscale.png,"—_——
)
cco
le
4
Sco
site 7
SS
“Ep a
ALT
ae
aps ait Be
aoa
| he
is
2a ree
+3
ft
iad,
]
ae
=
Le each
Hage i all
ate ae
tet Ncclt
SS = ie
—
(OO NE Tie ~
era.
-
&
ree
-
at il
fy
As
ora ral
5) ae ay
Oe SiS
thee bbe
+0) ne Vaca...
ey
hf ies
a ll
——
|
Dia
xo
-_-.",31.026315789473685,31.0,0.881578947368421,76,True,6.282051282051282,15.2,0.0,0.0,0.0,7,7
page-1,samples/testing_pages/page-1.png,grayscale,12,artifacts/ocr_profiles/page-1/grayscale.png,"Ch Whe
Sco
5/7
| J
A, ns
IAL 7:00
Ce eC UENCE I |
BF
is
card — he sere.
ft
Pel
J aiel
tae ee ee ot 2
3 recs lof
SS = ie
—
OO the his Caw
erfa
ree
-
a
) = ae
ler
ul
Ip
-
Foi
eae.
i
wif
i
;
#
7
|
i
5 es
Hep)
mh
a ill
Pl
Va pi
ee Theo...
|
z i
hf ies
a ll
a)
carta
Dia
ca xh
5
-_-.",36.770114942528735,33.0,0.7816091954022989,87,True,6.82051282051282,17.4,0.0,0.0,0.0,9,10
page-1,samples/testing_pages/page-1.png,clahe_median_adaptive,4,artifacts/ocr_profiles/page-1/clahe_median_adaptive.png,,,,0.0,0,True,1.0,1.0,0.0,0.0,0.0,1,1
page-1,samples/testing_pages/page-1.png,clahe_median_adaptive,6,artifacts/ocr_profiles/page-1/clahe_median_adaptive.png,"WDiear¢ eee
; Eloi Deeper 000.
| Lae ee ae: whe paie : colle : !
|. dogs n Tadeo satu ae Sleetlee _,
| ye qok score eyed = A Aa |,
_ At Ebner - Pn, fs — fut pais _féte at a
=|! Te = Su iste sia, * exod 1y dre yet) __. !
teieiaHiag ec co (an bn aly __
Laden 6 Siad ewiel| 1 Ba bugfenip Cael, dele |
ita/ale rae, ek wie Sind Taeleo : 3 acer life |
= er TE ad gad WAS tebe is 2 |!
~ | sera i's fprhep—2 / “Coal hie} tz ee
eS ar 5 fb ee fof etre |
~j-fvety die bhepe oscele pak pee |
Bae an der ee ea ne |
TE. oe Hcuche: ce —fdatald_h Pe a .
| he Ba zi Se CIE CS Oa me",29.22758620689655,27.0,0.8896551724137931,145,True,14.0,29.0,0.0,0.0,0.0,10,6
page-1,samples/testing_pages/page-1.png,clahe_median_adaptive,11,artifacts/ocr_profiles/page-1/clahe_median_adaptive.png,"|
——_——_———
— —— ———
""
=F
CL
—
|
_ he |
4
rag eons
—
| I
|
—
Sccigel
=<
SHET MES by A
aS
ma
—=—=
lS
—_—""
(epee,
fa
RES
Cer
a}
if
eeidbam
&
ee 5)
pale a Le ae
i
lade
Bch tad,
as
ie
— pe
ay
———
ora
et
—— =4iS
a
| #
LAS?
ie
eS
___ Fe
at
I
SS
=
Sal,
. Py, <n
ty
Mic
Le
a —_——
NM
it fre ene Sree: 4
[
1
B ty
die 4 fd
i
en 6) a
SL Ce
A
Ba!
Ge
df
Lb,
a =— f
=! rec
eI
ie
Bee |
vo
=
op
|
41tis vere
Re
o _.&le
ral
laden...
ia
pit
Gp.
fe
i
|
a
nw |
Of
ye
i ‘fang
(afl S_-
aAcgey pe. Te ee
AAG
|
hohe ih
=—s
(ome
wee
La ee <i
<
ead
PD i
Pc
obs fed
wil
at oo
Fi.
Bs me
Ise
Be
It A a
ef
ord
xf
i ¥]
Ch -
a
ea
a a)
_
2
oe ee SS ee
nn, ee
al
—e
ed
_[.
|
al
ay a
ne oe
|
——
i a!
~ ¢
fh
cae,
a
ip
“13
Chev he fhe
ba Eh ae ——
aT si.
Ge: fe _Gitel>
EAL.
ei | dae
“ae OE
—_—_
| hie",31.07296137339056,30.0,0.8927038626609443,233,True,19.025641025641026,46.6,0.0,0.0,0.0,12,13
page-1,samples/testing_pages/page-1.png,clahe_median_adaptive,12,artifacts/ocr_profiles/page-1/clahe_median_adaptive.png,"|
——_——_———
— —— ———
""
CL
—
|
_ he |
4
rag eons
|
=
f
_——————<
Sccigel
==
SHE TOM SSS
aS
i
= ee
(epee,
2
)
RES
Cer
if
eeidbam
al
©
a hig A PN
lade
Bch tad,
as
rar
=
— pe
Hh
ae: oe
———
ora
err
a
—
LAS?
a
—_—
___ Fe
ve
at
I
Wes
all
14g
a —_——
NM
i
=r
1
B ty
die 4 fd
!
1 LGte een S10 oz
en 6) a
SL Ce
4
Ba!
Ge
df
L
o [
¢
iE
de
-4
op
|
41tis vere
Re
7
o _.&le
ral
la anc Om
pit
—_—__—
Gp.
fe
i
a
nw |
Of
ye
i ‘fang
wit
Ks
4
aAcgey pe. Te ee
ae
hohe ih
=—s
(ome
wee
La ee <i
3
=
PD i
Pc
obs fed
aT i
ee if
|
i
Fi.
ey
[se
lt A a
ef
ord
xf
i ¥]
Lf
fic.
Ch -
—_
ea.
a a)
lt
—
Se
_
2
oe ee SS ee
nn, ee
al
ie
Mexef
ay a
a an ol
|
——
i a!
|
I
fh
cae,
i
vit th
:
San
“13
Chev he fhe
ba Eh ae ——
eet eer
i
oa
.
=
a
Sede.
AL
a re
a
f
hie
ram
UG oy
—",31.467532467532468,31.0,0.8961038961038961,231,True,18.435897435897434,46.2,0.0,0.0,0.0,11,12
page-1,samples/testing_pages/page-1.png,median_adaptive_no_clahe,4,artifacts/ocr_profiles/page-1/median_adaptive_no_clahe.png,"agg oth Deca baer Le 208%
aa os
ii boat =
a > 2 gc -
oop rp -— a a rien oe ;
r a é. gh wid oes vps Fer wd ha 2 co ae
ewe 6 foam a ee oo 2.0
Le ST bf, ots So 7 "">
J ea \' 1m. e j . 3 °
a = 5
| fp ‘ i
Ae = , . oo .
ee a “ Ln | ee et tite! =h Lat °
| 4 i | 3 a | ae al
q al
a EU = . oo er om, 7) eo Arr ry
| its — e- gee anh 2 J . we ‘ss = shad cl = i. %
_ i !
ey ene ee SSS eae i b!
Bo ee Ee ds dames TB ooy
- : ol ke pe .
: Pia 1 ao ‘ ae 4 a oy""
r
ms i a ae 3 ees ; Cet -
fe whe
° 7 . in
! ” e 3 .
” toy 5 3 ai) as.
é, a ie ; sep a Ab og ae f te = a es A eee ad — \ as
2 FS a OF a a Ee ont ae Bae a2
, a i io ane feo r 3 + Nee aye —_ ai a ;
wy - Lee Ged ao Lee i
a in . ‘
i aye Ee IOS BOC é ‘The as
dhe. Sp EE la hed . act card \y aan
ee Fy Us a e ¢ i £3 ad PS fgden chy ibe],
we. ; . me bite cone ee ek . Goa Hod
WA meee re ae ots 7 G é Poet 2 AL ai
: . i 7 poo = og , 0 \. iy
7 iE rg OA By A _ i ! a wo oe eer ar a £1, : ai fy = nts ba. i
‘ } ~] ? | maze” | = if 1 i ; -_ i a am :
wm gis oe as! wy ” ae ee oe any . a ar | + - & 1 &. ‘ ete 22 & -
be mm at _f: rn a a eck soem be ca 7 (ea & fl Tr",29.192708333333332,27.0,0.8854166666666666,384,True,27.666666666666668,76.8,0.0,0.0,0.0,15,15
page-1,samples/testing_pages/page-1.png,median_adaptive_no_clahe,6,artifacts/ocr_profiles/page-1/median_adaptive_no_clahe.png,"PO ON
L}, i pte : side Ca a
| , Sey : A j _. (eg _— ee oe ee > 7 Sco ey a - -_ : - - a
~ Le a ae! je me eet a a) , ‘ ee an oe al
(CSS tof Lite jet oo Oe,
‘ £ 5 x ‘ : Sng ‘ ff 2 To oe a 3
t i aot eo - A Be = 2 "" ee ort
Pees ee
1 PTS qaste si ci cey ge ye ee LACE TT Oo,
er f¢ 7 a er !
| ai lie -—CGR.RES Cpt £—_eP _ Sa) Yoo g 4
Létpefee Sec Catt ot ee i S eft Ques
| ; A ~ i i Lege’ é i a : |' ei
_iciete} net Mie Roe fe PS! pee habe
Be SY Sea. fem | exe @G@ sem caret orig;
eer Wie feel gad Gis. fusetbebysig |
weekube tr. GT Ge fede et Loin,
q ~ 1 . —r il ; } j : :
: pth ed nee ! re er ne eed ee eee eee oA arn Pn ce .
| - “eo | ‘ ! ty _ ‘5 we. ) ri fe a i i |
a y id ‘i
en oa cx —_ . e f. 3 =A ‘cm } ’ oe,
= ; ra ary | P > a fy = Pg A Mas? a .
- . wt | a; . an tl a ry —— i . ra \ f
. bese h . a ae ee ee ,",28.50375939849624,25.0,0.8834586466165414,266,True,20.28205128205128,53.2,0.0,0.0,0.0,13,11
